"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","合計"
"1511 紡績","2.2538033345782425E-4","0.004206794783829129","4.951687521171741E-5","5.236895274673743E-4","5.757001765894305E-5","1.8410675186505507E-4","8.351660134794283E-4","0.006686946840807475","0.0065102376490308485","0.9807205912071922","1.0"
"1512 織物","6.906237273198339E-5","0.002272509710006144","2.1898178925122405E-5","2.1057760627003503E-4","2.7258122549200902E-5","8.319250276136138E-5","2.6545912593608297E-4","-0.0010892222068760106","0.02449598244682224","0.9736432821408738","1.0"
"1513 ニット生地","1.3579105300838288E-4","0.0019797722197397206","3.936817993553174E-5","2.9072494275233623E-4","3.1877407919620276E-5","2.0430953836427827E-4","2.778133399585299E-4","0.01134367230500888","0.032571574542053595","0.9531250964712592","1.0"
"1514 染色整理","7.372389305406763E-5","0.0013909892628136216","2.3619217559019305E-5","2.2262841470135493E-4","2.5497741860557983E-5","1.0552507050924027E-4","4.3768197015423374E-4","-9.57488656366214E-5","7.867766298815423E-4","0.997029306665103","1.0"
"1519 その他の繊維工業製品","0.0013124385104207933","0.028130389832523695","4.1976408849899377E-4","0.004351387609248937","6.163282529327676E-4","0.0022025358417441356","0.0210929287881456","-0.012855600919704072","0.005419218666366281","0.9493106093298229","1.0"
"1521 衣服","1.556526172463064E-4","0.016320562562074672","4.4088859361390126E-4","8.696780472878272E-4","2.136430736803089E-4","1.2845103096257354E-4","9.560151539349447E-4","-3.739859195579919E-4","7.521587464502044E-4","0.9805369360943073","1.0"
"1522 その他の衣服・身の回り品","0.007407439951748968","0.18343323619706914","3.932427657524744E-4","0.002229509820003258","4.580145142190855E-4","0.0010569118400033865","6.244768932262316E-4","0.0012952837460328565","0.0010808684774819583","0.8020210157944625","1.0"
"1529 その他の繊維既製品","0.004866087469948234","0.0535079986347106","6.136350840415937E-4","0.01037138879860691","0.0010289076123774648","0.0024474373047557994","0.018382721236121974","-0.001158675591042453","5.193163877327755E-4","0.909421183062747","1.0"
"1611 木材","2.2596336700958934E-4","0.005041111900971578","1.8033047674977516E-4","0.001180885735045571","2.2883344977881734E-4","0.012651620317763873","0.07468538276904621","-6.161906738786832E-4","1.9450905099582092E-4","0.9062275536065174","1.0"
"1619 その他の木製品","0.0020065081767164424","0.01996052669895745","3.319257672444785E-4","0.002767153620348319","3.417010526686107E-4","0.013143964546129231","0.10408017313735926","0.0027831092609418495","2.2308962447034348E-4","0.854361848115164","1.0"
