"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出"," 平均"
"2521 セメント・セメント製品","0.000032598402672683285","0.00010485270953610438","0.00006407702516338944","0.00007105058488112155","0.00012660079816160437","0.01208851411927662","0.003098101189152244","-0.002520987378283421","0.0007096556423375555","0.0023130519270535095","0.0016162026487212824"
"2531 陶磁器","0.000001272283357813768","0.000000409029950273287","0.000001034144138931447","0.000000600318607680264","0.000000246930795914884","0.000002019602650124263","0.000003160112872370897","0.000000066428080556893","0.000001385111256494632","0.000002122829487147316","0.000001421462311980005"
"2591 建設用土石製品","0.000000208788452708642","0.000000680896938016057","0.000000363110561939543","0.000000528932197705061","0.000000883143569093365","0.000007597449467174664","0.00000952918370288165","0.000000129036218969049","0.00000347623271217496","0.000002325357488196646","0.000002211163596413354"
"2599 その他の窯業・土石製品","0.00004359165702762051","0.000059111443411669887","0.000028559269573098658","0.000021337270053399794","0.00003419595497687451","0.000478689391840801","0.00022979955040441672","0.00035539761615878954","0.0037035688408832714","0.0016806977865160442","0.0007813304508183516"
"2611 銑鉄・粗鋼","0.0002739711017432172","0.0004430670733181404","0.0007578329209728396","0.0005097966408507675","0.00040039369498685444","0.005459210786673466","0.0031338978372940883","0.06258471655993238","0.017356829652311213","0.045058166335183863","0.020518018772147185"
"2612 鉄屑","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2621 熱間圧延鋼材","0.00004369352749696072","0.00007019090734095355","0.00010486110623036073","0.000077900620851455","0.00007751062670202347","0.002193914550584289","0.0012468287204089469","0.01690006140104426","0.008016671215723867","0.010323823131901588","0.004785589783666072"
"2622 鋼管","0.000039584150002919156","0.00006528578281225562","0.00011244726804107129","0.00007484082173569587","0.00005725724346982929","0.0008880889864586333","0.0005944757719395697","0.0011719906427142253","0.02014962152444061","0.016998488010325434","0.007408345689526101"
"2623 冷延・めっき鋼材","0.000024802606102271732","0.00003638794325002709","0.000036338256213910694","0.000029562803968744405","0.00004063708494739198","0.00045467572373278917","0.00030814296066304257","0.004771321313824358","0.005803771714918992","0.0048540627323849376","0.0021833661112013116"
"2631 鋳鍛造品","0.000000065439393171864","0.000000068252967317176","0.000000054132382111008","0.000000039807173323707","0.00000009268147811204","0.000002356275517356768","0.000004537455156080998","0.000002733549198966678","0.00004574686643162971","0.0001761541558926725","0.00007581132330560116"
"2699 その他の鉄鋼製品","0.000011518616673606662","0.000012424770348277945","0.000014689068708363815","0.00001221021452855521","0.000017502223202675336","0.00012346231477064956","0.00011992029884386422","0.00039772569816653904","0.001515404737617885","0.0021595864999730545","0.000947483601063127"
"2711 非鉄金属製錬・精製","0.000000281949287427611","0.000001919759857534084","0.00000018509210963527","0.000000265023820277129","0.000000184650519738608","0.000001371819872308943","0.000001869155216271672","-0.000005458777542657741","0.00013747650495549615","0.00005907959234069035","0.000026218082643187004"
"2712 非鉄金属屑","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2721 電線・ケーブル","0.000000629949416349637","0.000001570209527092108","0.000001036153477116736","0.000001324282853111633","0.000002430571510242334","0.00004500612757854284","0.00005075405141094902","-0.0000369640471668204","0.0017350555942909915","0.0011646750505420371","0.0005057247025511143"
"2729 その他の非鉄金属製品","0.000007783511855244834","0.000006169207216877606","0.000004794598601947597","0.00001761231648976041","0.000002997147551718216","0.000020904967386977912","0.000026681027759694294","-0.00017086889541714157","0.006990176101005289","0.0019208088748240686","0.0008361357199580256"
"2811 建設用金属製品","0.000003371981428323419","0.000011225974348928065","0.000006031752461561203","0.000007503380203055927","0.000014749219038400213","0.0007558650062013401","0.0004070502619707738","0.000027298942575653795","0.0003130111322844411","0.002588585364864385","0.0011649673347960707"
"2812 建築用金属製品","0.000002131491514778449","0.000007765020579944884","0.000003645739555521906","0.000004510501891277113","0.000008698608727033504","0.0001096023002677373","0.0001336139066956468","-0.000000751531283445452","0.000006035540383703045","0.00043045178803838584","0.00020011030547540965"
"2891 ガス・石油機器・暖厨房機器","0.000000384786776950597","0.000001099965465429256","0.000000301250201901177","0.000000370030771038816","0.000000724748097077006","0.000005320535748727754","0.000007724894746293889","0.000000086936311503472","0.000000355248938525569","0.000000321747345983344","0.00000126352205509335"
"2899 その他の金属製品","0.0002378648778067194","0.0001431432625251285","0.00010466038863963948","0.00011095336464682264","0.00021488072209395907","0.0005118586896242506","0.000507546647802887","-0.0003228558200276582","0.004147666786091202","0.004228218218750468","0.0019268711340173616"
"2911 ボイラ・原動機","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00015092775933760232","0.00008225325070818632","0.00003537861754261386"
"2912 ポンプ・圧縮機","0.000000000960902246398","0.000000006831944580518","0.000000001645198341582","0.000000001658046230174","0.000000002954322242733","0.000000282249791303739","0.000000225151233072726","0.000000014201845472958","0.0005923858114580141","0.0002173895530831306","0.00009381651259068131"
"2913 運搬機械","0.000000081588617946539","0.00000008772557324002","0.000000144491796117494","0.000000100895627372833","0.000000164016400211551","0.000005197140651114104","0.000030338921166835827","0.000000594541748461313","0.00007119458169479206","0.0001305615388579932","0.00005827995479118091"
"2914 冷凍機・温湿調整装置","0.000006037611549798454","0.000006418523436615222","0.000010759646343760861","0.000006649034331339333","0.00001022668491843309","0.0002866575628653501","0.002200831993995301","0.001822247724961901","0.009662269072869833","0.02497629334392802","0.010876239909986686"
