"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","平均"
"2631 鋳鍛造品","0.000000201498798141699","0.000000210162261864137","0.000000166682626583478","0.000000122572921192582","0.000000285381718019991","0.000007255365030527716","0.000013971580668099408","0.000008417053575151562","0.00014086222622072649","0.0005424080050195207","0.00023343569967849693"
"2699 その他の鉄鋼製品","0.00004255878289223065","0.00004590682359886325","0.00005427291347239273","0.00004511408651865748","0.00006466690736577745","0.0004561663955478326","0.0004430794172152443","0.0014695099349660507","0.005599090850025075","0.007979202329038633","0.0035007457938930173"
"2711 非鉄金属製錬・精製","0.000001382570602205271","0.00000941376219296834","0.000000907620344838012","0.000001299574636780619","0.000000905454958236306","0.000006726875759394454","0.000009165616542440609","-0.00002676774048026145","0.0006741317773118909","0.00028970354316459006","0.00012856336910574832"
"2712 非鉄金属屑","-0.000001969973893129086","-0.000020688278414243367","-0.000004547048061479734","0.000000219869216915243","-0.00000357885039757801","-0.00001276346506251465","-0.0006072902867933664","-0.000054757993559031704","0.0008950364654963809","0.00011560640236954153","0.0"
"2721 電線・ケーブル","0.000002525699752372466","0.00000629554962798516","0.000004154321779895269","0.000005309538809571252","0.000009745058416143373","0.00018044617921715586","0.00020349172767450454","-0.0001482025101585385","0.006956478363369066","0.004669612210761609","0.0020276370179110573"
"2729 その他の非鉄金属製品","0.00004388259885596762","0.000034781323725377015","0.000027031428876526245","0.00009929633741403078","0.00001689759406424888","0.00011785994741200032","0.0001504247517082727","-0.0009633403705167027","0.039409857590990714","0.010829312898918394","0.004714042847296409"
"2811 建設用金属製品","0.000014101885997761998","0.00004694788920029609","0.000025225253278440674","0.00003137971381828446","0.00006168236980443754","0.0031610856624583435","0.0017023155410808648","0.00011416628004761287","0.0013090366591076673","0.010825663333781408","0.004871983104183079"
"2812 建築用金属製品","0.000006391109916845561","0.00002328280440663821","0.00001093146375014027","0.000013524385702416538","0.00002608209514917149","0.0003286338900687719","0.0004006308062642164","-0.000002253407534182535","0.000018097093857685766","0.00129067588220823","0.0006000150359124556"
"2891 ガス・石油機器・暖厨房機器","0.000001202458677970615","0.000003437392079466426","0.000000941406880941178","0.000001156346159496301","0.000002264837803365644","0.000016626674214774233","0.000024140296082168402","0.000000271675973448349","0.000001110152932892402","0.00000100546045619795","0.000003948506422166719"
"2899 その他の金属製品","0.0005478301095584591","0.00032967535987139834","0.00024104488524562213","0.00025553833113495266","0.0004948949614259067","0.001178869300087065","0.0011689381729479934","-0.0007435740025522245","0.009552552570130378","0.009738071763151692","0.004437805338001625"
"2911 ボイラ・原動機","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0004278532463365066","0.00023317327767722462","0.00010029206312303483"
"2912 ポンプ・圧縮機","0.000000002429756185337","0.000000017275388484744","0.000000004160080654977","0.000000004192568076972","0.00000000747035691681","0.000000713702334239421","0.000000569321804840462","0.000000035911063805359","0.0014979183313298607","0.0005496954692438757","0.0002372262658437767"
"2913 運搬機械","0.000000247198034862413","0.000000265791845209601","0.00000043778273186818","0.00000030569461084777","0.000000496938578418738","0.000015746350265435144","0.0000919211757846137","0.000001801348712140237","0.00021570607678801496","0.00039557669496812035","0.00017657720719929608"
"2914 冷凍機・温湿調整装置","0.00001719276588091904","0.000018277454559096494","0.000030639281613925995","0.000018933859797046114","0.00002912161507747464","0.000816289078170873","0.006267112235344213","0.005189051705943743","0.027514378604539595","0.07112275450209204","0.030971294674191352"
"2919 その他のはん用機械","0.000030021589909715304","0.000046564605887907835","0.00004864655045197448","0.000026756122213020648","0.00007479787383996382","0.0002940716918635389","0.00422505316480916","0.0028083394616888503","0.05688006302518118","0.010590473427949419","0.004967694899856404"
"3011 農業用機械","0.000002189600357165771","0.000002322305093973754","0.000003908046462034045","0.000002365003218654836","0.000003609855967248734","0.00000522983286430814","0.0004567364934271463","0.0002107564409024139","0.003987120832002171","0.0014584827689539098","0.0006650864217497635"
"3012 建設・鉱山機械","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.005989945448711092","0.0017744819008019535","0.0007672737679554381"
"3013 繊維機械","0.000002064744513486221","0.000005042913648808604","0.000003685201029734362","0.000002230145516789908","0.000003404014014913695","0.000004166256932317871","0.00005751675337337366","-0.0012113338874321416","0.025557933256350005","0.012762405835408585","0.005486528643729107"
"3014 生活関連産業用機械","0.000010282636711587541","0.000010905834727626236","0.000018352674217278967","0.000011106350453212774","0.00001695233441614066","0.000023527536496603467","0.0008105715630180973","0.000996903490154739","0.02057965058127078","0.0054669236545104635","0.00244049284941281"
"3015 基礎素材産業用機械","0.000006061876317891065","0.000006520797805648925","0.000010732658803091136","0.000007528034194229436","0.000012259304413996493","0.0007153555427815416","0.005937306528647224","0.0005099979849700196","0.005933813945763515","0.0004284039547324047","0.0006450280091251561"
"3016 金属加工機械","0.000030006444889976777","0.00003500757866930511","0.000051656411427469514","0.000032364881378942585","0.00005201692152764634","0.00011412996960258232","0.0027673809564691776","-0.0009739369051538798","0.008736685919441416","0.0028398528126547906","0.0014333078312465221"
"3017 半導体製造装置","0.000000000699683106205","0.000000000742088681339","0.00000000124880966465","0.000000000755732795164","0.000000001153523394282","0.000000125458808260076","0.00003701453618733126","0.000000647570390371336","0.0018189744252664754","0.00030385445247440126","0.0001351968598949887"
"3019 その他の生産用機械","0.000003896163855777519","0.000004135349062456184","0.000006952279853315935","0.000004216944064664175","0.00000644807049607594","0.000029547663599886342","0.0005533667449762745","0.00006242171763017823","0.005287393206233222","0.001542881812230631","0.0007100993949624644"
"3111 事務用機械","0.00029386468289075465","0.0002189670370933352","0.00031699323875340675","0.00021133110809046303","0.000291617971208662","0.0004679363579577278","0.0021836257277504877","0.0010660343967896365","0.0031706925446820817","0.0007271054024108436","0.0005987515138573624"
"3112 サービス用機器","0.000000321613696987167","0.000000105489087142293","0.000000036132123974831","0.000000021763375017131","0.000000032782607766563","0.000000268099303647475","0.000010124660641975517","0.000000074895364590717","0.000000039826355612778","0.000007067852324243225","0.000003790566165280092"
"3113 計測機器","0.000002715322630775973","0.000005888795432736048","0.00000096696272626264","0.00000464261263327678","0.000002143204739094647","0.000026967616051434327","0.00011464031785705174","0.00003390773928587313","0.004614163640204548","0.0010458831321679529","0.0004656078773018998"
"3114 医療用機械器具","0.000005119235601338008","0.00000500909353800569","0.000013630042303943028","0.00006312602200929214","0.000001835355723324041","0.000018185688004962785","0.00008408200950282691","0.00001163487987796742","0.00042802111805906925","0.00022780925683322836","0.00011308522393085492"
"3115 光学機械・レンズ","0.00000913981011839776","0.00023760466955749418","0.000016098394972996313","0.00003128960999441446","0.0000863355342969464","0.00008787984543056935","0.0007575640889651502","-0.002361631782004173","0.000024696082789600518","0.001966029470740825","0.0009531694503110467"
"3116 武器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3211 電子デバイス","0.000001227412589160732","0.000001870601616830135","0.000001391364885916774","0.000000962990983876508","0.00000136164367801943","0.000002969737175300824","0.000005837072823322671","0.000011858706519102551","0.0003657054804280302","0.00004394071041937057","0.000020690173652153587"
"3299 その他の電子部品","0.00009598084979418546","0.00016778834114141103","0.00015327913939586395","0.00018041292504436106","0.00032813622406228536","0.00017471516725753883","0.00016921158731351027","-0.00017962328798438727","0.011247109724670875","0.0043180143071412614","0.0019575115438533745"
